GLS_X(m),GLS_Y(m),VSLAM_X(m),VSLAM_Y(m),Residual_X(m),Residual_Y(m),Residual_H(rad),Residual_H(deg)
0.013720,0.023200,1.735700,-0.123800,0.012714,0.015973,-0.000983,-0.056348
0.003000,0.017600,1.748400,-0.115400,0.024578,0.025995,0.002014,0.115400
-0.011400,0.013440,1.753600,-0.138700,0.029163,0.004872,-0.001386,-0.079399
-0.022830,0.017800,1.719000,-0.150000,-0.004770,-0.004706,-0.002096,-0.120110
-0.027500,0.016240,1.698300,-0.129700,-0.025701,0.016300,0.001835,0.105160
-0.039000,0.001990,1.708800,-0.129300,-0.017342,0.018448,0.000785,0.044998
-0.014800,0.002200,1.710300,-0.141700,-0.015831,0.002395,0.001213,0.069503
-0.014700,-0.000400,1.713700,-0.138700,-0.012823,0.005382,0.001188,0.068095
-0.026700,-0.009700,1.721000,-0.139600,-0.006917,0.006301,-0.001155,-0.066160
-0.065020,-0.006500,1.697300,-0.169300,-0.030101,-0.017618,0.002400,0.137494
-0.017200,-0.007300,1.709000,-0.150400,-0.018563,-0.005935,0.001248,0.071533
0.032500,-0.007410,1.753400,-0.151000,0.025779,-0.014036,-0.002454,-0.140616
-0.011300,-0.006900,1.714000,-0.151200,-0.013507,-0.007626,0.000887,0.050840
-0.013310,-0.009100,1.717000,-0.145000,-0.010838,-0.001120,0.000122,0.007006
-0.010300,0.008360,1.717600,-0.149200,-0.007605,-0.005790,-0.000024,-0.001348
0.011990,0.034700,1.739000,-0.127400,0.017752,0.012624,-0.002404,-0.137727
-0.008200,0.011010,1.719400,-0.147800,-0.005407,-0.004709,0.000233,0.013329
-0.029230,-0.012320,1.701700,-0.168300,-0.026610,-0.022015,0.001225,0.070177
-0.005400,0.042870,1.750000,-0.125000,0.029999,0.017642,-0.001970,-0.112882
0.003950,0.000870,1.764700,-0.137700,0.038352,0.003566,0.000065,0.003738
-0.012100,-0.013510,1.751000,-0.150200,0.022496,-0.006499,-0.002208,-0.126534
0.008400,0.007020,1.768400,-0.131600,0.042977,0.008989,0.001145,0.065629
0.014500,-0.010700,1.747300,-0.142000,0.019197,-0.002316,-0.000909,-0.052086
0.011390,-0.006690,1.745300,-0.138000,0.017805,0.002150,-0.000645,-0.036928
0.008230,-0.001520,1.741600,-0.132600,0.014888,0.008022,-0.000011,-0.000653
0.021490,-0.020400,1.753600,-0.149900,0.024027,-0.011263,-0.002056,-0.117798
